location,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Gust,Wind Gust,Wind Gust,Cloud Cover Total,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Temperature,Temperature,Temperature
unit,°C,°C,°C,mm,m/s,m/s,m/s,%,hPa,hPa,hPa,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,sfc,sfc,sfc,sfc,MSL,MSL,MSL,sfc,sfc,sfc
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Maximum,Minimum,Mean,Mean,Maximum,Minimum,Mean,Maximum,Minimum,Mean
timestamp,Базель Temperature [2 m elevation corrected],Базель Temperature [2 m elevation corrected],Базель Temperature [2 m elevation corrected],Базель Precipitation Total,Базель Wind Gust,Базель Wind Gust,Базель Wind Gust,Базель Cloud Cover Total,Базель Mean Sea Level Pressure [MSL],Базель Mean Sea Level Pressure [MSL],Базель Mean Sea Level Pressure [MSL],Базель Temperature,Базель Temperature,Базель Temperature
20000402T0000,15.610246,1.7802454,7.9369125,0.0,7.2,3.4,4.8375,22.245834,1008.7,997.3,1004.0999,17.02,-1.93,6.642917
20000403T0000,17.250246,6.8202453,11.531913,0.2,5.4,2.3,4.1874995,47.204166,996.8,987.8,992.50836,21.06,2.97,10.100416
20000404T0000,16.140245,6.6402454,11.323162,1.6999999,6.9,2.5,4.4083333,38.191666,995.7,991.3,992.9333,20.0,3.77,10.091666
20000405T0000,10.190246,7.0502453,8.824412,6.6000004,8.2,2.3,5.3875003,84.166664,1012.6,996.2,1002.8127,11.84,3.09,7.5412498
20000406T0000,7.610245,2.9702454,4.994828,2.9,10.0,5.6,8.150001,76.5,1027.7,1013.5,1021.3249,9.44,1.12,4.8420835
20000407T0000,13.480246,-1.1897546,5.650245,0.0,9.7,4.9,6.9999995,4.4625,1030.4,1026.3,1028.596,15.17,-2.84,5.1079173
20000408T0000,16.620245,-0.33975458,8.028579,0.0,6.4,3.1,4.495833,2.0625,1028.0,1015.9,1023.07904,18.32,-2.2,7.0499997
20000409T0000,15.240245,3.2402453,9.068579,0.0,7.1,3.2,4.4374995,42.4,1015.8,1006.1,1010.5,17.48,0.24,8.234166
20000410T0000,15.100245,5.0302453,9.81108,0.1,6.7,3.1,4.6083326,60.833332,1007.5,1003.5,1005.9624,17.88,2.45,9.292083
20000411T0000,12.230246,8.450246,10.165246,3.9,8.4,1.3,4.3416667,76.333336,1003.8,995.1,999.45825,14.0,4.3,8.50875
20000412T0000,10.710245,4.4102454,7.9410787,8.4,19.1,4.9,11.833335,71.0,999.0,991.4,995.71674,13.29,3.55,7.5091667
20000413T0000,11.770246,6.130245,8.212329,3.9000003,17.5,6.8,10.599999,70.38333,1002.8,999.4,1001.3083,12.87,3.74,7.2929173
20000414T0000,17.930244,7.020245,11.729829,2.8999999,10.7,3.1,5.833334,46.199997,1004.2,997.3,1001.14166,20.01,5.1,10.982082
20000415T0000,13.400246,7.6802454,10.165244,2.5,14.9,2.9,8.004167,65.01667,1004.8,997.8,1000.9709,14.0,5.23,8.18375
20000416T0000,12.160245,3.1202455,8.395661,1.0,7.0,3.1,4.283333,68.53333,1006.0,998.7,1002.95,13.09,1.47,7.3962502
20000417T0000,11.830245,7.480245,9.504413,4.2999997,10.3,2.8,6.254167,81.833336,1011.1,997.1,1004.6335,12.21,4.64,8.009166
20000418T0000,11.8102455,7.2602453,9.206912,1.4000001,5.3,1.9,3.833333,81.174995,1013.1,1008.6,1011.13745,12.75,3.42,8.0737505
20000419T0000,15.290245,3.8902454,9.878579,0.1,7.9,1.6,4.65,53.691666,1015.3,1008.8,1011.4458,16.98,1.2,8.340001
20000420T0000,20.280245,4.7402453,12.164829,0.0,5.4,1.9,3.2208335,18.520834,1016.5,1012.3,1014.8835,21.69,1.97,11.205417
20000421T0000,22.050245,9.940246,15.631078,0.0,5.9,2.7,4.333333,26.487501,1016.8,1013.3,1015.37915,23.94,6.4,14.064583
20000422T0000,26.160246,9.380245,17.486912,0.0,5.6,3.0,3.9916666,13.095833,1016.1,1008.2,1012.3958,26.29,6.63,15.753333
20000423T0000,19.120245,12.070246,15.484413,2.4,8.3,3.6,5.35,47.466663,1012.0,1007.9,1010.0334,21.46,8.14,13.562501
20000424T0000,14.200245,9.150246,11.328162,9.300001,7.6,1.7,5.8666663,72.833336,1015.9,1012.4,1014.47906,17.3,7.64,10.907084
20000425T0000,20.380245,6.710245,12.897328,0.0,6.6,2.1,3.5625,28.654165,1015.2,1010.4,1013.36676,21.99,4.59,12.332916
20000426T0000,24.920246,9.470245,16.922747,0.0,5.3,2.4,3.8999999,8.795834,1010.9,1008.4,1009.86664,25.95,6.04,15.232915
20000427T0000,22.440245,11.410245,16.86483,0.0,7.2,2.6,4.5875,24.087502,1011.0,1003.2,1007.91235,25.19,7.98,16.269165
20000428T0000,21.420246,12.270246,15.923581,0.5,13.3,3.1,5.5208335,41.975002,1011.6,1003.5,1005.26263,24.08,9.1,14.847084
20000429T0000,14.670245,10.870245,12.547746,0.4,6.9,1.8,4.1749997,83.416664,1018.7,1012.0,1014.94574,14.56,9.64,11.935
20000430T0000,21.540245,11.340245,15.6210785,0.8,6.4,1.3,3.5875003,50.125,1020.5,1017.2,1019.0,22.98,8.37,14.957082
20000501T0000,22.200245,10.730246,16.47233,1.2,10.0,2.9,5.4500003,27.125002,1018.6,1014.6,1016.83734,24.06,7.22,14.91875
20000502T0000,21.890245,13.070246,16.997746,0.70000005,7.8,2.1,4.725,45.245834,1016.5,1014.2,1015.3833,23.71,8.61,15.228751
20000503T0000,22.530245,12.280245,17.051912,1.7,6.7,1.7,3.8291664,30.133333,1017.5,1015.0,1016.0916,25.25,8.72,15.987916
